,time,input,gAseen,gAacc,gBseen,gBacc,score,prediction,ground_truth,group_membership
201,201,B_acc,16,1,186,31,0.64078933,1,1.0,1.0
202,202,B_rej,16,1,187,31,0.001476743,0,0.0,1.0
203,203,B_rej,16,1,188,31,0.19334157,0,0.0,1.0
204,204,B_acc,16,1,189,32,0.9734711,1,1.0,1.0
205,205,B_rej,16,1,190,32,0.00017823663,0,0.0,1.0
206,206,B_rej,16,1,191,32,1.4967579e-06,0,0.0,1.0
207,207,A_rej,17,1,191,32,0.0032770995,0,0.0,0.0
208,208,B_acc,17,1,192,33,0.7227713,1,0.0,1.0
209,209,B_rej,17,1,193,33,0.014622415,0,0.0,1.0
210,210,B_rej,17,1,194,33,0.020461991,0,0.0,1.0
211,211,B_rej,17,1,195,33,0.0053068893,0,0.0,1.0
212,212,B_rej,17,1,196,33,0.26628822,0,1.0,1.0
213,213,B_rej,17,1,197,33,0.22295451,0,0.0,1.0
214,214,B_rej,17,1,198,33,0.309866,0,0.0,1.0
215,215,B_rej,17,1,199,33,0.011873976,0,0.0,1.0
216,216,B_rej,17,1,200,33,0.0017608862,0,0.0,1.0
217,217,B_rej,17,1,201,33,0.0016688004,0,0.0,1.0
218,218,B_rej,17,1,202,33,0.0024224264,0,0.0,1.0
219,219,B_rej,17,1,203,33,0.46635863,0,0.0,1.0
220,220,B_rej,17,1,204,33,0.02157599,0,0.0,1.0
221,221,B_rej,17,1,205,33,0.007018093,0,0.0,1.0
222,222,B_rej,17,1,206,33,0.002514722,0,0.0,1.0
223,223,B_rej,17,1,207,33,8.798671e-05,0,0.0,1.0
224,224,B_rej,17,1,208,33,0.39249894,0,0.0,1.0
225,225,B_rej,17,1,209,33,0.38775092,0,1.0,1.0
226,226,B_rej,17,1,210,33,0.07019538,0,0.0,1.0
227,227,B_rej,17,1,211,33,0.0314811,0,0.0,1.0
228,228,B_acc,17,1,212,34,0.80559754,1,0.0,1.0
229,229,B_rej,17,1,213,34,0.0063039195,0,0.0,1.0
230,230,B_rej,17,1,214,34,0.43380886,0,0.0,1.0
231,231,B_rej,17,1,215,34,0.053407524,0,0.0,1.0
232,232,B_rej,17,1,216,34,0.10553468,0,0.0,1.0
233,233,B_rej,17,1,217,34,0.016037265,0,0.0,1.0
234,234,B_rej,17,1,218,34,0.0021877028,0,0.0,1.0
235,235,B_rej,17,1,219,34,0.06370811,0,0.0,1.0
236,236,B_rej,17,1,220,34,0.008883892,0,0.0,1.0
237,237,A_rej,18,1,220,34,0.008494195,0,0.0,0.0
238,238,B_rej,18,1,221,34,0.042410742,0,0.0,1.0
239,239,B_rej,18,1,222,34,0.0028738761,0,0.0,1.0
240,240,B_rej,18,1,223,34,0.4793046,0,1.0,1.0
241,241,B_rej,18,1,224,34,0.0074090254,0,0.0,1.0
242,242,B_acc,18,1,225,35,0.50705683,1,1.0,1.0
243,243,B_rej,18,1,226,35,0.019662198,0,0.0,1.0
244,244,A_rej,19,1,226,35,0.008738756,0,0.0,0.0
245,245,B_rej,19,1,227,35,0.17451061,0,0.0,1.0
246,246,B_rej,19,1,228,35,0.39778122,0,0.0,1.0
247,247,B_rej,19,1,229,35,0.002058959,0,0.0,1.0
248,248,B_acc,19,1,230,36,1.0,1,1.0,1.0
249,249,B_acc,19,1,231,37,0.9348784,1,1.0,1.0
250,250,B_acc,19,1,232,38,0.51826286,1,1.0,1.0
251,251,B_acc,19,1,233,39,0.6729694,1,0.0,1.0
252,252,B_rej,19,1,234,39,0.34388494,0,1.0,1.0
253,253,B_acc,19,1,235,40,0.79683894,1,1.0,1.0
254,254,B_rej,19,1,236,40,0.008880558,0,0.0,1.0
255,255,B_acc,19,1,237,41,1.0,1,1.0,1.0
256,256,B_acc,19,1,238,42,0.9285942,1,1.0,1.0
257,257,A_rej,20,1,238,42,0.0056148954,0,0.0,0.0
258,258,B_rej,20,1,239,42,0.3492817,0,0.0,1.0
259,259,B_rej,20,1,240,42,0.046801362,0,0.0,1.0
260,260,B_acc,20,1,241,43,0.55180335,1,1.0,1.0
261,261,B_rej,20,1,242,43,0.3412327,0,1.0,1.0
262,262,B_acc,20,1,243,44,0.5054792,1,1.0,1.0
263,263,B_acc,20,1,244,45,0.66437024,1,1.0,1.0
264,264,B_rej,20,1,245,45,0.29692954,0,0.0,1.0
265,265,B_acc,20,1,246,46,0.85372585,1,1.0,1.0
266,266,B_rej,20,1,247,46,0.29941154,0,0.0,1.0
267,267,A_rej,21,1,247,46,0.032700054,0,0.0,0.0
268,268,B_rej,21,1,248,46,0.0020780968,0,0.0,1.0
269,269,B_rej,21,1,249,46,0.018297233,0,0.0,1.0
270,270,B_rej,21,1,250,46,0.00565039,0,0.0,1.0
271,271,B_rej,21,1,251,46,0.025368446,0,0.0,1.0
272,272,B_acc,21,1,252,47,0.6491892,1,1.0,1.0
273,273,A_rej,22,1,252,47,0.43467686,0,0.0,0.0
274,274,B_rej,22,1,253,47,0.36270255,0,0.0,1.0
275,275,B_rej,22,1,254,47,0.0025305229,0,0.0,1.0
276,276,B_rej,22,1,255,47,0.4654249,0,0.0,1.0
277,277,B_rej,22,1,256,47,0.34941718,0,0.0,1.0
278,278,B_rej,22,1,257,47,9.515879e-06,0,0.0,1.0
279,279,B_rej,22,1,258,47,0.022361914,0,0.0,1.0
280,280,B_rej,22,1,259,47,0.29797405,0,0.0,1.0
281,281,B_rej,22,1,260,47,0.016832655,0,0.0,1.0
282,282,B_rej,22,1,261,47,0.08515412,0,0.0,1.0
283,283,B_acc,22,1,262,48,1.0,1,1.0,1.0
284,284,B_rej,22,1,263,48,0.00021398097,0,0.0,1.0
285,285,B_rej,22,1,264,48,0.21191248,0,0.0,1.0
286,286,B_rej,22,1,265,48,0.47139972,0,0.0,1.0
287,287,B_acc,22,1,266,49,0.61289614,1,0.0,1.0
288,288,B_rej,22,1,267,49,0.022112155,0,0.0,1.0
289,289,B_rej,22,1,268,49,0.19950807,0,1.0,1.0
290,290,B_rej,22,1,269,49,0.0029972314,0,0.0,1.0
291,291,B_rej,22,1,270,49,0.014818416,0,0.0,1.0
292,292,B_rej,22,1,271,49,0.19926374,0,0.0,1.0
293,293,B_rej,22,1,272,49,0.18234526,0,0.0,1.0
294,294,B_acc,22,1,273,50,0.8856268,1,0.0,1.0
295,295,B_rej,22,1,274,50,0.12061429,0,0.0,1.0
296,296,B_rej,22,1,275,50,0.0013679725,0,0.0,1.0
297,297,A_rej,23,1,275,50,0.05185844,0,0.0,0.0
298,298,B_rej,23,1,276,50,0.32793024,0,0.0,1.0
299,299,B_rej,23,1,277,50,0.20823409,0,0.0,1.0
300,300,A_acc,24,2,277,50,0.51974607,1,0.0,0.0
301,301,B_rej,24,2,278,50,0.059338883,0,0.0,1.0
302,302,B_rej,24,2,279,50,0.30929717,0,1.0,1.0
303,303,B_rej,24,2,280,50,0.44893736,0,1.0,1.0
304,304,B_rej,24,2,281,50,0.047921617,0,0.0,1.0
305,305,B_acc,24,2,282,51,0.5376028,1,0.0,1.0
306,306,B_rej,24,2,283,51,1.6553793e-05,0,0.0,1.0
307,307,B_rej,24,2,284,51,0.00015761876,0,0.0,1.0
308,308,B_rej,24,2,285,51,0.056385923,0,0.0,1.0
309,309,B_acc,24,2,286,52,0.98147607,1,1.0,1.0
310,310,B_rej,24,2,287,52,0.0020233113,0,0.0,1.0
311,311,B_acc,24,2,288,53,0.59218246,1,1.0,1.0
312,312,B_rej,24,2,289,53,0.37009352,0,1.0,1.0
313,313,B_rej,24,2,290,53,0.034885623,0,0.0,1.0
314,314,B_rej,24,2,291,53,0.001488016,0,0.0,1.0
315,315,B_rej,24,2,292,53,7.0296825e-05,0,0.0,1.0
316,316,B_acc,24,2,293,54,0.6880861,1,1.0,1.0
317,317,B_rej,24,2,294,54,0.010311711,0,0.0,1.0
318,318,B_rej,24,2,295,54,0.049922045,0,0.0,1.0
319,319,B_rej,24,2,296,54,0.4600399,0,0.0,1.0
320,320,B_rej,24,2,297,54,0.49763745,0,0.0,1.0
321,321,B_rej,24,2,298,54,6.450984e-05,0,0.0,1.0
322,322,B_rej,24,2,299,54,0.18678729,0,0.0,1.0
323,323,A_rej,25,2,299,54,0.072649576,0,0.0,0.0
324,324,B_rej,25,2,300,54,0.074449934,0,0.0,1.0
325,325,B_rej,25,2,301,54,0.0015389163,0,0.0,1.0
326,326,B_rej,25,2,302,54,0.02952102,0,0.0,1.0
327,327,B_rej,25,2,303,54,0.0004873187,0,0.0,1.0
328,328,B_rej,25,2,304,54,0.21623704,0,1.0,1.0
329,329,B_rej,25,2,305,54,0.17452358,0,0.0,1.0
330,330,B_rej,25,2,306,54,0.04746528,0,0.0,1.0
331,331,B_rej,25,2,307,54,0.0026164837,0,0.0,1.0
332,332,B_rej,25,2,308,54,0.002974652,0,0.0,1.0
333,333,B_rej,25,2,309,54,0.109294906,0,0.0,1.0
334,334,B_rej,25,2,310,54,0.00028254703,0,0.0,1.0
335,335,B_rej,25,2,311,54,0.29263657,0,0.0,1.0
336,336,B_rej,25,2,312,54,0.45593092,0,0.0,1.0
337,337,B_rej,25,2,313,54,0.19500951,0,1.0,1.0
338,338,B_rej,25,2,314,54,0.41299838,0,0.0,1.0
339,339,B_rej,25,2,315,54,0.1856324,0,1.0,1.0
340,340,B_rej,25,2,316,54,0.025187247,0,0.0,1.0
341,341,B_rej,25,2,317,54,0.15209906,0,1.0,1.0
342,342,B_rej,25,2,318,54,5.0085036e-05,0,0.0,1.0
343,343,A_rej,26,2,318,54,0.10883372,0,0.0,0.0
344,344,B_acc,26,2,319,55,0.87714714,1,0.0,1.0
345,345,B_rej,26,2,320,55,0.41010383,0,1.0,1.0
346,346,B_rej,26,2,321,55,0.35442263,0,0.0,1.0
347,347,B_rej,26,2,322,55,0.050536953,0,0.0,1.0
348,348,B_acc,26,2,323,56,0.62511814,1,1.0,1.0
349,349,B_rej,26,2,324,56,0.0020233113,0,0.0,1.0
350,350,B_acc,26,2,325,57,0.8011142,1,1.0,1.0
351,351,B_rej,26,2,326,57,0.12972489,0,0.0,1.0
352,352,B_rej,26,2,327,57,0.18501332,0,0.0,1.0
353,353,B_acc,26,2,328,58,1.0,1,1.0,1.0
354,354,B_acc,26,2,329,59,0.99901915,1,1.0,1.0
355,355,B_rej,26,2,330,59,2.3882592e-05,0,0.0,1.0
356,356,B_rej,26,2,331,59,0.009683404,0,0.0,1.0
357,357,B_rej,26,2,332,59,0.00022265187,0,0.0,1.0
358,358,A_rej,27,2,332,59,0.010719202,0,0.0,0.0
359,359,B_rej,27,2,333,59,0.03519394,0,0.0,1.0
360,360,B_rej,27,2,334,59,0.36145446,0,1.0,1.0
361,361,B_rej,27,2,335,59,0.026130112,0,0.0,1.0
362,362,B_rej,27,2,336,59,0.35414857,0,1.0,1.0
363,363,A_rej,28,2,336,59,0.14456767,0,0.0,0.0
364,364,B_rej,28,2,337,59,0.051028192,0,0.0,1.0
365,365,B_rej,28,2,338,59,0.050745245,0,0.0,1.0
366,366,B_acc,28,2,339,60,1.0,1,1.0,1.0
367,367,B_rej,28,2,340,60,0.3640592,0,1.0,1.0
368,368,B_rej,28,2,341,60,0.13851866,0,0.0,1.0
369,369,B_rej,28,2,342,60,0.30552945,0,0.0,1.0
370,370,B_acc,28,2,343,61,0.5708718,1,1.0,1.0
371,371,B_rej,28,2,344,61,0.23342513,0,1.0,1.0
372,372,B_rej,28,2,345,61,0.007448302,0,0.0,1.0
373,373,B_rej,28,2,346,61,0.121466435,0,0.0,1.0
374,374,B_rej,28,2,347,61,0.0014351562,0,0.0,1.0
375,375,B_rej,28,2,348,61,0.13237244,0,0.0,1.0
376,376,B_rej,28,2,349,61,0.25280905,0,0.0,1.0
377,377,B_rej,28,2,350,61,0.38156417,0,0.0,1.0
378,378,B_acc,28,2,351,62,0.6004477,1,0.0,1.0
379,379,A_rej,29,2,351,62,0.0070967237,0,0.0,0.0
380,380,B_acc,29,2,352,63,0.51826286,1,1.0,1.0
381,381,B_rej,29,2,353,63,0.008961165,0,0.0,1.0
382,382,B_rej,29,2,354,63,0.2884053,0,0.0,1.0
383,383,B_rej,29,2,355,63,0.07986558,0,0.0,1.0
384,384,B_rej,29,2,356,63,0.011236155,0,0.0,1.0
385,385,B_rej,29,2,357,63,0.23134871,0,0.0,1.0
386,386,B_rej,29,2,358,63,9.619477e-06,0,0.0,1.0
387,387,B_acc,29,2,359,64,0.70777756,1,0.0,1.0
388,388,B_rej,29,2,360,64,0.013121506,0,0.0,1.0
389,389,B_rej,29,2,361,64,0.2546165,0,0.0,1.0
390,390,B_rej,29,2,362,64,0.0055146352,0,0.0,1.0
391,391,B_rej,29,2,363,64,0.20624013,0,0.0,1.0
392,392,B_rej,29,2,364,64,0.027552545,0,0.0,1.0
393,393,B_acc,29,2,365,65,0.7020041,1,1.0,1.0
394,394,B_rej,29,2,366,65,0.30473477,0,1.0,1.0
395,395,B_rej,29,2,367,65,3.3147302e-05,0,0.0,1.0
396,396,B_rej,29,2,368,65,0.00019951958,0,0.0,1.0
397,397,B_rej,29,2,369,65,0.43876025,0,0.0,1.0
398,398,B_acc,29,2,370,66,0.68823266,1,1.0,1.0
399,399,A_rej,30,2,370,66,0.002188664,0,0.0,0.0
400,400,B_acc,30,2,371,67,0.6127507,1,1.0,1.0
401,401,B_rej,30,2,372,67,0.037877627,0,0.0,1.0
402,402,B_acc,30,2,373,68,0.5964484,1,1.0,1.0
403,403,B_rej,30,2,374,68,4.346698e-05,0,0.0,1.0
404,404,B_rej,30,2,375,68,0.025034552,0,0.0,1.0
405,405,B_rej,30,2,376,68,0.2857508,0,1.0,1.0
406,406,A_rej,31,2,376,68,0.21025442,0,0.0,0.0
407,407,B_rej,31,2,377,68,0.005281757,0,0.0,1.0
408,408,B_rej,31,2,378,68,0.43340322,0,1.0,1.0
409,409,B_acc,31,2,379,69,0.9166659,1,1.0,1.0
410,410,B_rej,31,2,380,69,7.339383e-06,0,0.0,1.0
411,411,B_rej,31,2,381,69,0.0018945436,0,0.0,1.0
412,412,B_rej,31,2,382,69,0.1202248,0,0.0,1.0
413,413,B_rej,31,2,383,69,0.0010415199,0,0.0,1.0
414,414,A_rej,32,2,383,69,0.23684801,0,0.0,0.0
415,415,B_rej,32,2,384,69,0.14756504,0,0.0,1.0
416,416,B_rej,32,2,385,69,0.21571313,0,1.0,1.0
417,417,B_rej,32,2,386,69,0.47539666,0,1.0,1.0
